,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収〜回収LT）,日量数（箱数）,仕入先名,かんばん数
0,019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5494505494505495,3.782967032967033,17.913684210526316,石黒ゴム工業（株）,91
1,019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5176470588235293,3.542588235294118,16.656470588235294,石黒ゴム工業（株）,85
2,019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5,3.549347826086956,16.140434782608697,石黒ゴム工業（株）,92
3,019128GA010    ,2023,38,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.5238095238095237,3.5833333333333335,16.14547619047619,石黒ゴム工業（株）,84
4,019128GA010    ,2023,39,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50.0,1.4230769230769231,2.525961538461538,14.479230769230771,石黒ゴム工業（株）,52
5,01912ECB010    ,2023,35,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5172413793103448,4.0248275862068965,6.305555555555556,石黒ゴム工業（株）,29
6,01912ECB010    ,2023,36,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4838709677419355,3.7541935483870965,5.518709677419356,石黒ゴム工業（株）,31
7,01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.4666666666666666,3.6086666666666662,5.328666666666667,石黒ゴム工業（株）,30
8,01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5,3.6086666666666667,5.46911111111111,石黒ゴム工業（株）,30
9,01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300.0,1.5625,2.7675,4.398333333333333,石黒ゴム工業（株）,16
10,01912ECB040    ,2023,35,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.9406741573033703,18.907777777777778,愛産樹脂工業（株）,89
11,01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.393720930232558,16.821627906976744,愛産樹脂工業（株）,86
12,01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.2734408602150533,16.244086021505378,愛産樹脂工業（株）,93
13,01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,2.407380952380952,16.00595238095238,愛産樹脂工業（株）,84
14,01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50.0,1.0,1.55734375,15.53375,愛産樹脂工業（株）,64
15,01912ECB060    ,2023,35,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,6.405,,新光ゴム工業（株）,4
16,01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,5.4275,1.006875,新光ゴム工業（株）,4
17,01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,4.078,0.9390000000000001,新光ゴム工業（株）,5
18,01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,4.147499999999999,0.740625,新光ゴム工業（株）,4
19,01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400.0,1.0,2.5700000000000003,0.96875,新光ゴム工業（株）,2
20,1040043104R    ,2023,35,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.6,4.803333333333334,1.89,（株）ギフ加藤製作所,10
21,1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.625,5.081428571428572,1.8337142857142854,（株）ギフ加藤製作所,8
22,1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,5.3028571428571425,1.4962857142857142,（株）ギフ加藤製作所,10
23,1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,5.648571428571429,1.7882857142857145,（株）ギフ加藤製作所,8
24,1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000.0,1.5,3.7249999999999996,0.938,（株）ギフ加藤製作所,2
25,1040052001Z    ,2023,35,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.4615384615384617,3.460769230769231,2.6616666666666666,（株）青山製作所,13
26,1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.8461538461538463,3.0930769230769233,2.3626923076923076,（株）青山製作所,13
27,1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,2.9166666666666665,3.6199999999999997,2.25125,（株）青山製作所,12
28,1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.4615384615384617,3.6766666666666663,2.06,（株）青山製作所,13
29,1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200.0,3.2,2.6639999999999997,2.386,（株）青山製作所,5
30,1040183011P    ,2023,35,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0,1.95,2.466,（株）青山製作所,10
31,1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.25,1.5458333333333334,2.0500000000000003,（株）青山製作所,12
32,1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.0833333333333335,1.4816666666666667,2.109,（株）青山製作所,12
33,1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.5,1.92,2.1075,（株）青山製作所,12
34,1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.3333333333333335,1.2944444444444445,2.11,（株）青山製作所,9
35,2030044001J    ,2023,35,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,1.5,5.072500000000001,1.0275,ＮＯＫ（株）,4
36,2030044001J    ,2023,36,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,3.26,1.010625,ＮＯＫ（株）,4
37,2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,4.898000000000001,0.9595,ＮＯＫ（株）,5
38,2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,1.5,2.6975000000000002,0.938125,ＮＯＫ（株）,4
39,2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400.0,2.0,1.88,0.9683333333333334,ＮＯＫ（株）,3
40,2030045013L    ,2023,35,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,7.573333333333333,1.2105,伊藤金属工業（株）,6
41,2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,4.652857142857143,1.1811428571428573,伊藤金属工業（株）,7
42,2030045013L    ,2023,37,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,6.621666666666667,1.1115,伊藤金属工業（株）,6
43,2030045013L    ,2023,38,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,4.1525,1.14025,伊藤金属工業（株）,4
44,2030045013L    ,2023,39,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000.0,1.0,3.3899999999999997,0.56175,伊藤金属工業（株）,2
45,2030052002N    ,2023,35,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.7142857142857142,2.505714285714286,3.1516666666666664,（株）杉浦製作所,14
46,2030052002N    ,2023,36,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.5,2.671875,2.695,（株）杉浦製作所,16
47,2030052002N    ,2023,37,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.4444444444444444,2.976111111111111,2.628148148148148,（株）杉浦製作所,18
48,2030052002N    ,2023,38,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.4615384615384615,2.924615384615385,2.6976923076923076,（株）杉浦製作所,13
49,2030052002N    ,2023,39,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300.0,1.375,1.85875,2.58875,（株）杉浦製作所,8
50,3040052001B    ,2023,35,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.3658536585365852,1.57425,5.753666666666667,（株）青山製作所,41
51,3040052001B    ,2023,36,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.3255813953488373,2.647857142857143,7.821333333333333,（株）青山製作所,43
52,3040052001B    ,2023,37,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.1875,1.3820689655172413,7.713517241379311,（株）青山製作所,32
53,3040052001B    ,2023,38,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,3.025,2.108,7.3255,（株）青山製作所,40
54,3040052001B    ,2023,39,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500.0,2.823529411764706,1.223529411764706,6.281529411764706,（株）青山製作所,34
55,33490ECB010    ,2023,35,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.4557235421166306,1.6262850971922247,78.1328125,マレリ（株）,463
56,33490ECB010    ,2023,36,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.4765784114052953,1.215142857142857,92.23877551020408,マレリ（株）,491
57,33490ECB010    ,2023,37,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.503968253968254,1.183061630218688,88.22067594433399,マレリ（株）,504
58,33490ECB010    ,2023,38,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.5129310344827587,1.185948275862069,86.70474137931035,マレリ（株）,464
59,33490ECB010    ,2023,39,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.3624454148471616,1.124344978165939,89.95687772925764,マレリ（株）,458
60,33490ECE010    ,2023,35,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.455604075691412,1.637278020378457,114.11346153846154,マレリ（株）,687
61,33490ECE010    ,2023,36,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.470948012232416,1.450183486238532,118.91093272171254,マレリ（株）,654
62,33490ECE010    ,2023,37,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.502248875562219,1.4831934032983507,115.29010494752623,マレリ（株）,667
63,33490ECE010    ,2023,38,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.5065573770491802,1.504967213114754,113.13770491803278,マレリ（株）,610
64,33490ECE010    ,2023,39,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4.0,1.364963503649635,1.307189781021898,112.32755474452554,マレリ（株）,548
65,34989ECB010    ,2023,35,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,13.82,,（株）槌屋,2
66,34989ECB010    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,15.04,0.468,（株）槌屋,1
67,34989ECB010    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,8.055,0.234,（株）槌屋,2
68,34989ECB010    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,7.23,0.486,（株）槌屋,2
69,34989ECB020    ,2023,35,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,6.250909090909091,1.89,（株）槌屋,11
70,34989ECB020    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,5.42125,1.81625,（株）槌屋,8
71,34989ECB020    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,6.7829999999999995,1.5614000000000001,（株）槌屋,10
72,34989ECB020    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,5.582,1.6280000000000001,（株）槌屋,10
73,34989ECB020    ,2023,39,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,1.87,1.756,（株）槌屋,1
74,34989ECB030    ,2023,35,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,8.709999999999999,0.846,（株）槌屋,3
75,34989ECB030    ,2023,36,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,7.903333333333333,0.6076666666666667,（株）槌屋,3
76,34989ECB030    ,2023,37,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,7.286,0.7078,（株）槌屋,5
77,34989ECB030    ,2023,38,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000.0,1.0,5.4425,0.8787499999999999,（株）槌屋,4
78,34989ECC010    ,2023,35,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,21.53,,（株）槌屋,1
79,34989ECC010    ,2023,36,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,22.700000000000003,0.3,（株）槌屋,1
80,34989ECC010    ,2023,37,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,16.28,0.0,（株）槌屋,1
81,34989ECE010    ,2023,35,0.72,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,24.455,0.3,（株）槌屋,2
82,34989ECE020    ,2023,35,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,13.380000000000003,,（株）槌屋,1
83,34989ECE020    ,2023,36,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,9.4,0.494,（株）槌屋,1
84,34989ECE020    ,2023,37,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,9.323333333333332,0.3,（株）槌屋,3
85,34989ECE020    ,2023,38,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,5.9,0.47,（株）槌屋,1
86,34989ECE030    ,2023,35,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,23.470000000000002,,（株）槌屋,1
87,34989ECE030    ,2023,36,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500.0,1.0,23.630000000000003,0.252,（株）槌屋,1
88,35141ECB010    ,2023,35,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16.0,11.571428571428571,,,（株）アイシン福井,70
89,35141ECB010    ,2023,36,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16.0,13.902439024390244,,,（株）アイシン福井,82
90,35141ECB010    ,2023,37,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16.0,13.307692307692308,,,（株）アイシン福井,78
91,35141ECB010    ,2023,38,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16.0,13.40625,3.0740000000000003,26.25,（株）アイシン福井,96
92,35141ECB010    ,2023,39,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16.0,10.518867924528301,0.6970754716981132,22.3873820754717,（株）アイシン福井,106
93,35141ECE010    ,2023,35,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20.0,9.2,,,（株）アイシン福井,55
94,35141ECE010    ,2023,36,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20.0,10.794117647058824,,,（株）アイシン福井,34
95,35141ECE010    ,2023,37,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20.0,11.612244897959183,,,（株）アイシン福井,49
96,35141ECE010    ,2023,38,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20.0,9.819672131147541,3.257058823529412,25.697058823529414,（株）アイシン福井,61
97,35141ECE010    ,2023,39,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20.0,10.414893617021276,1.0726595744680851,21.935106382978724,（株）アイシン福井,94
98,35145ECB010    ,2023,35,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.5424999999999995,4.125,三共鋼業（株）,20
99,35145ECB010    ,2023,36,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.730555555555555,3.606666666666667,三共鋼業（株）,18
100,35145ECB010    ,2023,37,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.0666666666666664,3.4177777777777774,三共鋼業（株）,21
101,35145ECB010    ,2023,38,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.1555,3.4455,三共鋼業（株）,20
102,35145ECB010    ,2023,39,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.9784615384615383,3.3023076923076924,三共鋼業（株）,13
103,35145ECE010    ,2023,35,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,3.0614814814814815,5.324,三共鋼業（株）,27
104,35145ECE010    ,2023,36,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.6354166666666665,4.801666666666667,三共鋼業（株）,24
105,35145ECE010    ,2023,37,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.6028571428571428,4.745238095238095,三共鋼業（株）,26
106,35145ECE010    ,2023,38,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,2.62375,4.516666666666667,三共鋼業（株）,24
107,35145ECE010    ,2023,39,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100.0,1.0,1.7272222222222222,4.387222222222222,三共鋼業（株）,18
108,35145ECE020    ,2023,35,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.392857142857143,2.2789285714285716,5.319999999999999,（株）浅賀井製作所,28
109,35145ECE020    ,2023,36,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.4615384615384617,2.1926923076923077,4.865384615384615,（株）浅賀井製作所,26
110,35145ECE020    ,2023,37,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.3846153846153846,2.3134615384615382,4.62,（株）浅賀井製作所,26
111,35145ECE020    ,2023,38,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.6538461538461537,2.2128,4.54,（株）浅賀井製作所,26
112,35145ECE020    ,2023,39,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100.0,2.4705882352941178,1.6847058823529413,4.081176470588235,（株）浅賀井製作所,17
113,35165ECE010    ,2023,35,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,4.465714285714286,2.651666666666667,（株）松尾製作所,14
114,35165ECE010    ,2023,36,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,4.215,2.341,（株）松尾製作所,10
115,35165ECE010    ,2023,37,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,3.4292307692307693,2.2946153846153843,（株）松尾製作所,13
116,35165ECE010    ,2023,38,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,3.5246153846153847,2.2915384615384613,（株）松尾製作所,13
117,35165ECE010    ,2023,39,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200.0,1.0,2.5383333333333336,2.0508333333333333,（株）松尾製作所,6
118,35174ECB010    ,2023,35,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.4838709677419355,2.006666666666667,19.425,（株）浅賀井製作所,93
119,35174ECB010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.489795918367347,1.597755102040816,18.540306122448982,（株）浅賀井製作所,98
120,35174ECB010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.55,1.5206,17.692999999999998,（株）浅賀井製作所,100
121,35174ECB010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.510869565217391,1.537391304347826,17.515217391304347,（株）浅賀井製作所,92
122,35174ECB010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20.0,2.234567901234568,1.230617283950617,17.75493827160494,（株）浅賀井製作所,81
123,35174ECE010    ,2023,35,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.4782608695652173,2.5189855072463767,13.305357142857144,（株）浅賀井製作所,69
124,35174ECE010    ,2023,36,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.5245901639344264,2.4591803278688524,11.795491803278688,（株）浅賀井製作所,61
125,35174ECE010    ,2023,37,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.5076923076923077,2.5172307692307694,11.532692307692308,（株）浅賀井製作所,65
126,35174ECE010    ,2023,38,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.55,2.4410000000000003,11.472083333333334,（株）浅賀井製作所,60
127,35174ECE010    ,2023,39,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40.0,2.2325581395348837,1.4413953488372093,10.643023255813953,（株）浅賀井製作所,43
128,35174ECE020    ,2023,35,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.34375,2.88625,5.905555555555556,（株）浅賀井製作所,32
129,35174ECE020    ,2023,36,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.5925925925925926,2.7692592592592593,5.349794238683128,（株）浅賀井製作所,27
130,35174ECE020    ,2023,37,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.6206896551724137,2.446206896551724,5.166283524904214,（株）浅賀井製作所,29
131,35174ECE020    ,2023,38,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.607142857142857,2.7742857142857145,5.087301587301587,（株）浅賀井製作所,28
132,35174ECE020    ,2023,39,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90.0,2.388888888888889,1.57,4.55679012345679,（株）浅賀井製作所,18
133,3519510A010    ,2023,35,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,2.0,7.5649999999999995,,中庸スプリング（株）,2
134,3519510A010    ,2023,36,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,2.0,6.995,0.6575,中庸スプリング（株）,2
135,3519510A010    ,2023,37,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,1.0,4.8175,0.6345833333333333,中庸スプリング（株）,4
136,3519510A010    ,2023,38,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,1.5,6.015000000000001,0.6425000000000001,中庸スプリング（株）,2
137,3519510A010    ,2023,39,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600.0,2.0,2.8600000000000003,0.7016666666666667,中庸スプリング（株）,1
138,35195ECE010    ,2023,35,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400.0,1.0,5.905833333333334,2.6574999999999998,三共鋼業（株）,12
