,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注〜印刷LT,発注〜検収LT,発注〜順立装置入庫LT,発注〜順立装置出庫LT,発注〜回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収〜回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
94,9034118A024    ,2023,50,7.0,7.0,9.0,（株）青山製作所,1.955,0.32,3.16,3.45,6.12,6.42,1.06,2.5380145338095828,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 19, dtype: object",1.0,2.0,2.34,200,3,3.9050000000000002,2.8400000000000003,0.29000000000000004,2.67,0.2999999999999998,3.26,0.08,3.075471698113207,1.2844686098415325,21.440494969141,0.3108935551363663
95,9036324A003    ,2023,50,6.0,66.0,74.0,日本精工（株）,16.181818181818183,0.15,1.34,1.55,1.87,2.13,0.74,0.8038514003773037,1.0,"箱種類    T-10 ﾊﾝﾖｳ
箱種類    ＴＰ３４１フタナシ
Name: 128, dtype: object",1.0,6.0,4.92,22,69,80.77272727272728,1.1900000000000002,0.20999999999999996,0.32000000000000006,0.2599999999999998,0.7899999999999998,0.09,1.0675675675675673,0.9827687052970207,3.7579714546006673,0.8259875438178883
96,9036324A004    ,2023,50,15.0,104.0,115.0,日本精工（株）,24.9,0.13,1.33,1.56,2.16,2.335,0.74,0.7799733510992671,1.0,"箱種類    T-10 ﾊﾝﾖｳ
箱種類     Aﾊﾟﾚﾌﾀﾅｼ
Name: 129, dtype: object",1.0,24.0,19.68,30,106,124.6,1.2000000000000002,0.22999999999999998,0.6000000000000001,0.17499999999999982,1.005,0.09,1.358108108108108,1.2885055605856124,6.991214373936753,1.617474875240567
97,9036324A005    ,2023,50,15.0,74.0,83.0,日本精工（株）,17.772727272727273,0.15,1.36,1.56,2.45,2.57,0.69,0.7441938662396846,1.0,"箱種類    T-10 ｾﾝﾖｳ
箱種類    ＴＰ３４１フタナシ
Name: 130, dtype: object",1.0,6.0,4.92,22,71,89.13636363636363,1.2100000000000002,0.19999999999999996,0.8900000000000001,0.11999999999999966,1.2099999999999997,0.09,1.753623188405797,1.6259204152191864,8.553950369807147,1.2092183117751851
98,9036340A010    ,2023,50,11.0,78.0,87.0,日本精工（株）,18.675,0.15,1.36,1.56,2.16,2.56,0.74,0.8998934043970686,3.0,"箱種類    T-10 ｾﾝﾖｳ
箱種類    ＴＰ３４１フタナシ
Name: 132, dtype: object",1.0,6.0,4.92,80,75,93.45,1.2100000000000002,0.19999999999999996,0.6000000000000001,0.3999999999999999,1.2,0.09,1.6216216216216215,1.3334912714512046,5.969825246933681,1.0982345608243644
99,9036345A004    ,2023,50,9.0,34.0,37.0,岡谷鋼機（株）,8.3,0.14,4.4,4.68,5.14,5.47,0.68,0.7999200532978015,1.0,"箱種類    ｻﾝﾎﾞｯｸｽ#9T
箱種類     ＴＰ３４１フタナシ
Name: 46, dtype: object",1.0,6.0,4.92,90,29,33.22222222222223,4.260000000000001,0.27999999999999936,0.45999999999999996,0.33000000000000007,1.0699999999999994,0.0,1.573529411764705,1.337633674251257,10.98990556821882,0.7037716505990235
100,9036628A005    ,2023,50,5.0,28.0,26.0,（株）ジェイテクト,5.916666666666667,0.09,2.02,2.6,3.63,3.82,0.62,0.794140182847192,1.0,"箱種類       PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 55, dtype: object",1.0,1.0,1.9,60,23,29.616666666666667,1.93,0.5800000000000001,1.0299999999999998,0.18999999999999995,1.7999999999999998,0.0,2.9032258064516125,2.266602344118324,2.91403593977659,0.5478529896768692
101,9036628A006    ,2023,50,3.0,21.0,17.0,（株）ジェイテクト,4.4375,0.09,2.02,2.6,3.27,3.92,0.62,0.8521869104629226,1.0,"箱種類       PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 56, dtype: object",1.0,1.0,1.9,80,17,17.7,1.93,0.5800000000000001,0.6699999999999999,0.6499999999999999,1.9,0.0,3.064516129032258,2.2295578313540245,2.331228751821272,0.4291474823213096
102,9036628A007    ,2023,50,7.0,28.0,25.0,（株）ジェイテクト,5.430555555555555,0.09,4.01,4.27,4.76,5.13,0.57,0.7473617440571498,1.0,"箱種類       PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 57, dtype: object",1.0,1.0,1.9,72,19,21.86111111111111,3.92,0.2599999999999998,0.4900000000000002,0.3700000000000001,1.12,0.0,1.9649122807017547,1.4986049378443367,4.444836405326749,0.6898645283779846
103,9036628A008    ,2023,50,5.0,20.0,18.0,（株）ジェイテクト,3.91,0.09,4.01,4.27,4.92,5.65,0.58,0.8263357556349303,1.0,"箱種類    PT- 9 ｾﾝﾖｳ
箱種類     ＡＷ１３１フタナシ
Name: 58, dtype: object",1.0,1.0,1.78,100,13,15.74,3.92,0.2599999999999998,0.6500000000000004,0.7300000000000004,1.6400000000000006,0.0,2.827586206896553,1.9846654205830367,4.599900642146128,0.5743561043926129
104,9036630A017    ,2023,50,9.0,53.0,48.0,（株）ジェイテクト,10.375,0.09,2.02,2.6,3.705,3.915,0.6,0.6959360426382412,1.0,"箱種類        PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 59, dtype: object",1.0,4.0,4.0,72,42,51.91666666666667,1.93,0.5800000000000001,1.105,0.20999999999999996,1.895,0.0,3.1583333333333337,2.7229513689450506,6.9397590361445785,0.8953211380286753
105,9036630A018    ,2023,50,12.0,101.0,90.0,（株）ジェイテクト,19.657894736842103,0.09,2.02,2.6,3.29,3.5999999999999996,0.34,0.4918987341772152,3.0,"箱種類        PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 60, dtype: object",1.0,4.0,4.0,38,86,98.36842105263158,1.93,0.5800000000000001,0.69,0.3099999999999996,1.5799999999999996,0.0,4.64705882352941,3.2120432321152848,4.883534136546184,1.1130793489587676
106,9036652A003    ,2023,50,8.0,33.0,30.0,（株）ジェイテクト,6.516666666666667,0.09,4.01,4.27,4.74,5.01,0.57,0.7178014533809582,1.0,"箱種類        PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 61, dtype: object",1.0,4.0,4.0,60,24,26.233333333333334,3.92,0.2599999999999998,0.47000000000000064,0.2699999999999996,1.0,0.0,1.7543859649122808,1.3931429022466337,9.820971867007671,0.6793494490601936
107,9036652A004    ,2023,50,8.0,33.0,28.0,（株）ジェイテクト,6.206349206349207,0.09,4.01,4.27,4.79,4.984999999999999,0.57,0.7251915260500061,1.0,"箱種類        PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 62, dtype: object",1.0,4.0,4.0,63,24,24.984126984126984,3.92,0.2599999999999998,0.5200000000000005,0.1949999999999994,0.9749999999999996,0.0,1.7105263157894732,1.344472411737431,10.312020460358053,0.6571421997376955
108,9036658A001    ,2023,50,4.0,38.0,33.0,（株）ジェイテクト,7.911111111111111,0.09,2.02,2.32,3.13,3.35,0.57,0.700605137135394,1.0,"箱種類         PT- 9 ｾﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 63, dtype: object",1.0,4.0,4.0,45,33,39.488888888888894,1.93,0.2999999999999998,0.81,0.2200000000000002,1.33,0.0,2.3333333333333335,1.8983589036158806,4.044943820224719,0.6232202044722469
109,9036658A002    ,2023,50,7.0,48.0,45.0,（株）ジェイテクト,9.88888888888889,0.09,2.02,2.32,3.27,3.61,0.59,0.6944841097083152,1.0,"箱種類        PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 64, dtype: object",1.0,4.0,4.0,36,41,49.361111111111114,1.93,0.2999999999999998,0.9500000000000002,0.33999999999999986,1.5899999999999999,0.0,2.694915254237288,2.2894692301423616,5.662921348314606,0.811162709951825
110,9036659A009    ,2023,50,17.0,105.0,96.0,（株）ジェイテクト,20.75,0.09,2.02,2.65,3.61,3.71,0.59,0.6379680213191206,1.0,"箱種類        PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 65, dtype: object",1.0,4.0,4.0,36,87,103.83333333333334,1.93,0.6299999999999999,0.96,0.10000000000000009,1.69,0.0,2.864406779661017,2.649035599786965,6.554216867469879,1.3302849600490254
111,9036659A010    ,2023,50,16.0,105.0,95.0,（株）ジェイテクト,20.75,0.09,2.02,2.65,3.625,3.74,0.59,0.6379680213191206,1.0,"箱種類        PT- 9 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 66, dtype: object",1.0,4.0,4.0,36,88,103.83333333333334,1.93,0.6299999999999999,0.9750000000000001,0.11500000000000021,1.7200000000000002,0.0,2.9152542372881363,2.6960599003749,6.168674698795181,1.2909811164847984
112,9050827A011    ,2023,50,2.0,7.0,8.0,（株）東郷製作所,1.775,0.08,1.47,1.66,2.14,2.66,0.82,1.4004672761573067,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタアリ
Name: 113, dtype: object",1.0,1.0,1.79,200,5,7.08,1.39,0.18999999999999995,0.4800000000000002,0.52,1.1900000000000002,0.08,1.4512195121951224,0.8497163912784879,4.038568327527892,0.3388499042269843
113,9052409A003    ,2023,50,2.0,4.0,4.0,（株）東郷製作所,0.711,0.14,2.46,2.56,3.5650000000000004,5.085,0.82,2.2711681903932663,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      TP131ﾌﾀﾅｼ
Name: 114, dtype: object",1.0,1.0,0.73,500,2,1.422,2.32,0.10000000000000009,1.0050000000000003,1.5199999999999996,2.625,0.08,3.2012195121951224,1.1557928695476603,16.259766021966943,0.11760336556233658
114,9056439A005    ,2023,50,13.0,9.0,10.0,（株）ムロコーポレーション,2.45,2.1,2.86,3.0,5.39,5.97,0.93,2.1078563015312133,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタアリ
Name: 143, dtype: object",1.0,2.0,3.92,100,1,2.45,0.7599999999999998,0.14000000000000012,2.3899999999999997,0.5800000000000001,3.11,0.0,3.344086021505376,1.4754326458311213,21.56960345113655,0.5672619154387627
115,9056439A006    ,2023,50,4.0,7.0,7.0,（株）ムロコーポレーション,0.87,0.1,0.86,0.99,1.8,2.2,0.93,4.257787021630615,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタアリ
Name: 144, dtype: object",1.0,2.0,3.92,100,3,2.63,0.76,0.13,0.81,0.40000000000000013,1.3400000000000003,0.0,1.4408602150537637,0.3147174795715398,18.6898420708345,0.20867741118237768
116,9056450A002    ,2023,50,8.0,10.0,10.0,（株）ムロコーポレーション,0.79,2.1,2.86,3.0,3.77,4.03,0.93,4.84644908616188,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類       Ｔ２０３フタナシ
Name: 149, dtype: object",1.0,2.0,5.82,100,3,1.58,0.7599999999999998,0.14000000000000012,0.77,0.26000000000000023,1.1700000000000004,0.0,1.2580645161290327,0.241413863882469,29.696722224284493,0.265505326682445
117,9056450A003    ,2023,50,13.0,5.0,6.0,（株）ムロコーポレーション,2.24,2.1,2.86,3.0,5.91,6.38,0.93,2.3182461823229987,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタアリ
Name: 150, dtype: object",1.0,2.0,3.92,100,1,2.24,0.7599999999999998,0.14000000000000012,2.91,0.46999999999999975,3.52,0.0,3.7849462365591395,1.5183892145884108,23.5917537746806,0.5236919491708609
118,9056455A042    ,2023,50,10.0,3.0,3.0,（株）ムロコーポレーション,0.49,0.1,0.86,0.99,1.03,2.2,0.93,7.219308176100628,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタアリ
Name: 228, dtype: object",1.0,2.0,3.92,100,1,0.49,0.76,0.13,0.040000000000000036,1.1700000000000002,1.3400000000000003,0.0,1.4408602150537637,0.1856133534285242,82.96001327360212,0.12014968737263657
119,9056457A132    ,2023,50,2.0,4.0,4.0,（株）ムロコーポレーション,0.15,1.1,1.8599999999999999,1.99,3.355,4.46,0.93,20.602131147540984,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 271, dtype: object",1.0,6.0,5.76,100,2,0.3,0.7599999999999998,0.13000000000000012,1.365,1.105,2.6,0.0,2.7956989247311825,0.12620053631249353,118.34319526627218,0.01689536011172932
120,9056457A133    ,2023,50,1.0,5.0,4.0,（株）ムロコーポレーション,0.22,0.1,0.86,0.99,1.89,2.98,0.93,13.86103448275862,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      TP341ﾌﾀﾅｼ
Name: 272, dtype: object",1.0,4.0,8.04,100,3,0.67,0.76,0.13,0.8999999999999999,1.09,2.12,0.0,2.2795698924731185,0.1529467373187054,20.11263073209976,0.04955737647794011
121,9056457A134    ,2023,50,7.0,2.0,3.0,（株）ムロコーポレーション,0.89,2.1,2.86,3.0,6.03,7.0,0.93,4.15061191626409,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      TP341ﾌﾀﾅｼ
Name: 273, dtype: object",1.0,4.0,8.04,100,1,0.89,0.7599999999999998,0.14000000000000012,3.0300000000000002,0.9699999999999998,4.140000000000001,0.0,4.451612903225807,0.9974432887299083,34.801630704981605,0.19960859204592865
122,9056463A033    ,2023,50,3.0,4.0,4.0,（株）ムロコーポレーション,0.1,0.1,0.86,0.98,1.03,2.0,0.93,29.09901408450704,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 321, dtype: object",1.0,6.0,4.92,100,1,0.1,0.76,0.12,0.050000000000000044,0.97,1.1400000000000001,0.0,1.2258064516129032,0.039176585044747664,304.054054054054,0.009865963625406843
123,9056463A034    ,2023,50,3.0,3.0,3.0,（株）ムロコーポレーション,0.04,2.1,2.86,3.0,4.02,5.44,0.93,66.14739130434783,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 322, dtype: object",1.0,6.0,4.92,100,1,0.04,0.7599999999999998,0.14000000000000012,1.0199999999999996,1.4200000000000008,2.5800000000000005,0.0,2.774193548387097,0.039003805730286126,760.1351351351351,0.00394662166933279
124,9093003179     ,2023,50,1.0,7.0,5.0,（株）青山製作所,1.594,0.33999999999999997,2.225,2.49,2.995,4.1850000000000005,1.0,1.7032348804500703,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類       Aﾊﾟﾚﾌﾀﾅｼ
Name: 20, dtype: object",1.0,24.0,19.68,500,4,4.682,1.8850000000000002,0.2650000000000001,0.5049999999999999,1.1900000000000004,1.9600000000000004,0.08,1.9600000000000004,1.1507514450867053,7.280687491050821,0.134647417484526
125,9094906A012    ,2023,50,3.0,24.0,24.0,中庸スプリング（株）,5.194,0.17,1.355,1.65,2.125,2.8150000000000004,0.63,1.2078008898133703,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      TP341ﾌﾀﾅｼ
Name: 104, dtype: object",1.0,4.0,8.04,500,20,25.982,1.185,0.29499999999999993,0.4750000000000001,0.6900000000000004,1.4600000000000004,0.1,2.317460317460318,1.2088085149743515,2.5557058689229577,0.7292339921198576
126,9155180614     ,2023,50,3.0,11.0,11.0,（株）青山製作所,2.466666666666667,0.32,1.26,1.44,2.16,2.48,1.08,2.2991487632413103,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 21, dtype: object",1.0,2.0,1.06,1500,7,9.876,0.94,0.17999999999999994,0.7200000000000002,0.31999999999999984,1.22,0.08,1.1296296296296295,0.5306311707642875,11.80792442928365,0.2278840245120001
127,9155180640     ,2023,50,4.0,6.0,7.0,（株）青山製作所,1.494,0.35,2.21,2.435,4.0,4.9,1.08,3.0786675549633578,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 22, dtype: object",1.0,1.0,0.73,1000,4,4.482,1.8599999999999999,0.2250000000000001,1.565,0.9000000000000004,2.6900000000000004,0.08,2.490740740740741,0.8737546201320905,15.476162840185403,0.23467481302163948
128,9161140614     ,2023,50,6.0,19.0,22.0,（株）青山製作所,4.7808,0.32,1.26,1.69,3.53,3.89,1.06,1.6845836109260492,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 23, dtype: object",1.0,1.0,2.28,2500,15,19.136,0.94,0.42999999999999994,1.8399999999999999,0.3600000000000003,2.63,0.08,2.481132075471698,1.5612166608662639,3.826280732686845,0.6782634084825124
129,9167180618     ,2023,50,4.0,8.0,11.0,（株）青山製作所,2.241,0.32,1.26,1.57,4.45,4.57,1.07,2.4024450366422387,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 24, dtype: object",1.0,1.0,2.28,1000,5,8.97,0.94,0.31000000000000005,2.88,0.1200000000000001,3.3100000000000005,0.08,3.093457943925234,1.377763049524829,5.441821486487957,0.513157915038601
130,G1144ECB010    ,2023,50,31.0,229.0,267.0,住友電気工業（株）,59.333333333333336,1.16,4.36,4.8,5.1,5.3,0.63,0.6648280365694385,2.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 99, dtype: object",1.0,6.0,5.76,6,244,296.16666666666663,3.2,0.4399999999999995,0.2999999999999998,0.20000000000000018,0.9399999999999995,0.0,1.4920634920634912,1.4138994571445402,4.637324645967688,1.772149562728989
131,G1144ECE010    ,2023,50,49.0,258.0,226.0,矢崎総業（株）,48.875,0.14,3.97,4.2,4.525,4.61,0.58,0.6194137209015889,2.0,"箱種類        TP-331 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 349, dtype: object",1.0,4.0,4.0,8,196,245.125,3.83,0.22999999999999998,0.3250000000000002,0.08499999999999996,0.6400000000000001,0.0,1.1034482758620692,1.033235103459521,8.020460358056265,2.1602118606444045
132,G1163ECB010    ,2023,50,3.0,21.0,26.0,（株）青山製作所,5.30625,0.315,1.2349999999999999,1.57,2.09,2.59,1.04,1.2303402331667856,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 25, dtype: object",1.0,1.0,2.28,80,20,21.4875,0.9199999999999999,0.3350000000000002,0.5199999999999998,0.5,1.355,0.08,1.3028846153846154,1.101321377187147,1.7236921485822632,0.41122622094939626
133,G1163ECE010    ,2023,50,16.0,76.0,83.0,（株）青山製作所,18.09,0.31,1.26,1.57,2.59,2.83,1.03,1.084608999563128,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 26, dtype: object",1.0,2.0,1.06,100,71,90.42,0.95,0.31000000000000005,1.0199999999999998,0.2400000000000002,1.57,0.08,1.5242718446601942,1.4475262519787164,8.587053942799487,0.8631593579568866
134,G117362010     ,2023,50,38.0,166.0,192.0,多摩川精機販売（株）,41.5,0.1,5.11,5.54,6.25,6.55,0.89,0.9139840106595604,1.0,"箱種類    TP-331-5 ﾊﾝﾖｳ
箱種類        TP341ﾌﾀﾅｼ
Name: 100, dtype: object",1.0,4.0,8.04,18,159,207.66666666666669,5.010000000000001,0.4299999999999997,0.71,0.2999999999999998,1.4399999999999995,0.0,1.6179775280898872,1.5755199031992355,4.051604648683229,2.302806351807263
135,G1174ECB010    ,2023,50,5.0,27.0,30.0,住友電装（株）,7.109999999999999,1.17,4.36,4.87,5.5,5.865,0.89,1.0351168190393267,1.0,"箱種類    TP-362 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 96, dtype: object",1.0,6.0,5.76,50,26,28.32,3.1900000000000004,0.5099999999999998,0.6299999999999999,0.3650000000000002,1.505,0.0,1.691011235955056,1.4539421757215416,6.241729708136719,0.6424893876843861
136,G1174ECE010    ,2023,50,11.0,31.0,36.0,住友電装（株）,7.82,3.08,4.36,5.03,6.42,6.77,0.91,1.033167877817465,1.0,"箱種類    TP-362 ﾊﾝﾖｳ
箱種類      ＴＰ３３２フタナシ
Name: 97, dtype: object",1.0,4.0,6.88,50,25,31.48,1.2800000000000002,0.6699999999999999,1.3899999999999997,0.34999999999999964,2.4099999999999993,0.0,2.6483516483516474,2.332631561379017,7.140353382580134,1.1595604292160766
137,G1250ECB010    ,2023,50,3.0,12.0,11.0,（株）バルカー,2.4,0.1,5.03,5.42,6.25,6.87,0.87,1.2982655246252677,1.0,"箱種類    TP-332.5ｾﾝﾖｳ
箱種類     ＴＰ３３１．５フタナシ
Name: 125, dtype: object",1.0,1.0,3.05,60,9,9.55,4.930000000000001,0.3899999999999997,0.8300000000000001,0.6200000000000001,1.8399999999999999,0.24,2.114942528735632,1.4172755612000856,3.0864197530864197,0.5351008543997181
138,G1250ECC010    ,2023,50,4.0,16.0,16.0,（株）バルカー,3.5,0.1,5.03,5.35,6.0600000000000005,6.395,0.87,1.163470286133529,1.0,"箱種類    TP-332.5ｾﾝﾖｳ
箱種類       ＴＰ３３２フタナシ
Name: 126, dtype: object",1.0,2.0,6.2,60,12,14.049999999999999,4.930000000000001,0.3199999999999994,0.7100000000000009,0.3349999999999991,1.3649999999999993,0.24,1.5689655172413786,1.1732143194960296,3.1746031746031744,0.7843747568282625
139,G1250ECE010    ,2023,50,11.0,29.0,30.0,（株）バルカー,6.516666666666667,0.36,5.21,5.45,6.23,6.54,0.88,1.0278014533809583,1.0,"箱種類    TP-332.5ｾﾝﾖｳ
箱種類       ＴＰ１３１フタナシ
Name: 127, dtype: object",1.0,2.0,3.52,60,24,26.233333333333334,4.85,0.2400000000000002,0.7800000000000002,0.3099999999999996,1.33,0.24,1.5113636363636365,1.2940242452712614,7.468936016114795,0.9951956763358233
140,G9201ECB030    ,2023,50,23.0,198.0,202.0,佐藤工業（株）,44.5,1.06,5.02,5.19,5.75,5.92,0.78,0.8264373820925845,2.0,"箱種類       ｻﾝﾎﾞｯｸｽ#20B
箱種類    サンボックス＃２４Ａフタアリ
Name: 68, dtype: object",1.0,4.0,4.0,8,189,222.125,3.9599999999999995,0.17000000000000082,0.5599999999999996,0.16999999999999993,0.9000000000000004,0.05,1.1538461538461542,1.0890117261166856,4.134831460674158,1.3154258908202936
141,G9201ECE010    ,2023,50,55.0,223.0,226.0,佐藤工業（株）,48.875,1.6,5.02,5.3,6.35,6.67,0.86,0.8994137209015889,2.0,"箱種類       ｻﾝﾎﾞｯｸｽ#20B
箱種類    サンボックス＃２４Ａフタアリ
Name: 69, dtype: object",1.0,4.0,4.0,8,182,245.125,3.4199999999999995,0.28000000000000025,1.0499999999999998,0.3200000000000003,1.6500000000000004,0.05,1.9186046511627912,1.8345283840522357,9.002557544757034,2.324101680123959
