,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注〜印刷LT,発注〜検収LT,発注〜順立装置入庫LT,発注〜順立装置出庫LT,発注〜回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収〜回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,年＆週番号
0,019128GA010    ,2023,50,26.0,78.0,80.0,石黒ゴム工業（株）,15.94,0.11,3.6,4.0,4.6850000000000005,5.015000000000001,1.07,1.140323488045007,1.0,"箱種類    TP-342 ﾊﾝﾖｳ
箱種類       Aﾊﾟﾚﾌﾀﾅｼ
Name: 33, dtype: object",1.0,24.0,19.68,50.0,50.0,77.76,3.49,0.3999999999999999,0.6850000000000005,0.33,1.4150000000000005,0.29,1.3224299065420564,1.240875957423191,18.929787476732137,1.27507520330612,100.0,390.0,8.ファイナル後半,86,0.0,0.0,0.5087719298245614,0.6430041152263374,1.56,1.0256410256410255,1.075,1.72,1.6,0.6641666666666667,2023-50
1,01912ECB010    ,2023,50,7.0,26.0,27.0,石黒ゴム工業（株）,5.3133333333333335,0.13,3.6,4.0,5.21,5.59,0.85,1.0609828283420266,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 34, dtype: object",1.0,6.0,4.92,300.0,17.0,25.91333333333333,3.47,0.3999999999999999,1.21,0.3799999999999999,1.99,0.29,2.341176470588235,1.8756194227099103,13.352436501746414,0.4826368389675257,100.0,390.0,8.ファイナル後半,29,0.0,0.0,0.5263157894736843,0.656032930280422,1.5294117647058822,1.0384615384615385,1.0740740740740742,1.7058823529411764,1.588235294117647,0.8855555555555555,2023-50
2,01912ECB040    ,2023,50,30.0,105.0,98.0,愛産樹脂工業（株）,19.925,0.26,4.41,4.41,5.83,6.05,0.25,0.3062587904360056,1.0,"箱種類    TP-342 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタナシ
Name: 32, dtype: object",1.0,1.0,3.05,40.0,65.0,78.5,4.15,0.0,1.42,0.2199999999999997,1.6399999999999997,0.0,6.559999999999999,5.354948335246842,3.717644871973605,1.2175870775001592,100.0,390.0,8.ファイナル後半,107,0.0,0.0,0.4078947368421053,0.8280254777070064,1.6153846153846154,0.9333333333333333,1.0918367346938775,1.646153846153846,1.5076923076923077,19.925,2023-50
3,01912ECB060    ,2023,50,1.0,4.0,1.0,新光ゴム工業（株）,0.8887499999999999,0.12,5.4,5.42,6.105,7.895,0.78,2.173121462777536,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 88, dtype: object",1.0,6.0,5.76,400.0,2.0,1.7775,5.28,0.0199999999999995,0.6850000000000005,1.7899999999999991,2.494999999999999,0.0,3.198717948717948,1.1481180609256236,9.986767533018751,0.0982382923784074,100.0,390.0,8.ファイナル後半,4,0.0,0.0,1.0,1.1251758087201125,2.0,0.25,4.0,2.0,0.5,0.14812499999999998,2023-50
4,1040043104R    ,2023,50,1.0,8.0,3.0,（株）ギフ加藤製作所,1.494,0.24,3.98,4.38,4.74,6.18,0.75,2.7486675549633577,3.0,"箱種類      AW-131 ｾﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 50, dtype: object",1.0,1.0,1.9,1000.0,5.0,5.98,3.74,0.3999999999999999,0.3600000000000003,1.4399999999999995,2.2,0.12,2.933333333333333,0.8003878082772828,2.3080829063379955,0.2579458339968277,100.0,390.0,2.MGケース,8,0.0,0.0,1.6666666666666665,0.8361204013377925,1.6,0.375,2.6666666666666665,1.6,0.6,1.494,2023-50
5,1040052001Z    ,2023,50,2.0,9.0,10.0,（株）青山製作所,1.96,0.32,1.205,1.4449999999999998,2.95,3.375,1.07,2.5480145338095825,3.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 2, dtype: object",1.0,1.0,0.73,200.0,4.0,3.915,0.885,0.2399999999999997,1.5050000000000003,0.4249999999999998,2.17,0.08,2.02803738317757,0.8516434938679858,5.898313082458416,0.2513727123696873,100.0,390.0,2.MGケース,9,0.0,0.0,0.8,1.0217113665389528,2.25,1.1111111111111112,0.9,2.25,2.5,1.96,2023-50
6,1040183011P    ,2023,50,1.0,8.0,2.0,（株）青山製作所,2.136,0.3,1.18,1.57,1.76,2.36,1.04,1.5237227301310887,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 3, dtype: object",1.0,1.0,0.73,500.0,9.0,10.662,0.8799999999999999,0.3900000000000001,0.1899999999999999,0.5999999999999999,1.18,0.08,1.1346153846153846,0.774419109635834,2.706154878656015,0.2020628646894371,100.0,390.0,8.ファイナル後半,11,0.0,0.0,0.5714285714285714,0.8441193021947101,0.8888888888888888,0.25,5.5,1.2222222222222223,0.2222222222222222,2.136,2023-50
7,2030044001J    ,2023,50,2.0,4.0,4.0,ＮＯＫ（株）,0.8887499999999999,0.235,2.9,3.125,3.53,4.535,0.58,1.7409345523146134,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類     テンバコ１０フタナシ
Name: 116, dtype: object",1.0,8.0,9.0,400.0,2.0,1.7775,2.665,0.2250000000000001,0.4050000000000002,1.005,1.6350000000000002,0.03,2.81896551724138,0.9391507554527132,18.002812939521803,0.1101422012450943,100.0,390.0,4.TA・カバー・メイン,4,0.0,0.0,1.0,1.1251758087201125,2.0,1.0,1.0,2.0,2.0,0.11109374999999999,2023-50
8,2030045013L    ,2023,50,2.0,3.0,4.0,伊藤金属工業（株）,0.9425,0.1,4.13,4.47,7.58,8.57,0.53,3.676385589554,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 43, dtype: object",1.0,6.0,4.92,2000.0,1.0,0.9425,4.03,0.3399999999999998,3.1100000000000003,0.9900000000000002,4.44,0.0,8.377358490566039,1.2077079217739612,21.5069180586422,0.0921186659730009,100.0,390.0,3.ギヤサブ・共通部品,3,0.0,0.0,2.0,1.0610079575596818,3.0,1.3333333333333333,0.75,3.0,4.0,0.15708333333333332,2023-50
9,2030052002N    ,2023,50,3.0,12.0,12.0,（株）杉浦製作所,2.49,0.13,0.91,1.13,2.17,2.38,0.54,1.7392005329780147,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 89, dtype: object",1.0,6.0,5.76,300.0,9.0,9.966666666666669,0.78,0.2199999999999998,1.04,0.2099999999999999,1.4699999999999998,0.12,2.722222222222221,0.8452159323358384,10.69366222285592,0.2670663825984772,100.0,390.0,2.MGケース,13,0.0,0.0,0.625,0.9030100334448159,1.3333333333333333,1.0,1.0833333333333333,1.4444444444444444,1.3333333333333333,0.41500000000000004,2023-50
10,3040052001B    ,2023,50,2.0,27.0,23.0,（株）青山製作所,6.758,0.31,1.26,1.56,1.82,2.68,1.02,1.4601473026306138,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３３２フタナシ
Name: 4, dtype: object",1.0,1.0,1.9,500.0,23.0,33.826,0.95,0.3,0.26,0.8600000000000001,1.4200000000000002,0.08,1.3921568627450982,0.9725046215828472,1.0205018828259738,0.2464146094381958,100.0,390.0,3.ギヤサブ・共通部品,34,0.0,0.0,0.3076923076923077,0.6799503340625555,1.173913043478261,0.8518518518518519,1.4782608695652173,1.4782608695652173,1.0,6.758,2023-50
11,33490ECB010    ,2023,50,33.0,398.0,411.0,マレリ（株）,89.0,0.32,4.09,4.41,4.56,4.73,0.82,0.8548280365694384,3.0,"箱種類      TP-332 ﾊﾝﾖｳ
箱種類    サンボックス＃９Ｆフタナシ
Name: 53, dtype: object",1.0,1.0,1.9,4.0,401.0,444.25,3.77,0.3200000000000003,0.1499999999999994,0.1700000000000008,0.6400000000000006,0.23,0.7804878048780495,0.7486885930513263,1.2785741960480437,0.3483637358639429,100.0,390.0,7.ファイナル前半,450,0.0,0.0,0.0948905109489051,0.9026449071468767,0.9925187032418953,1.0326633165829147,1.094890510948905,1.1221945137157108,1.0249376558603491,89.0,2023-50
12,33490ECE010    ,2023,50,65.0,453.0,456.0,マレリ（株）,97.75,0.32,4.09,4.26,5.0,5.165,0.81,0.8395602906761918,3.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類      ＴＰ１３１フタナシ
Name: 54, dtype: object",1.0,1.0,1.74,4.0,422.0,490.25,3.77,0.1699999999999999,0.7400000000000002,0.165,1.0750000000000002,0.23,1.3271604938271606,1.2804321642394287,2.4268672876957824,0.6186683618625115,100.0,390.0,7.ファイナル前半,504,0.0,0.0,-0.06493506493506496,0.8607853136155023,1.0734597156398105,1.0066225165562914,1.105263157894737,1.1943127962085307,1.080568720379147,97.75,2023-50
13,34989ECB020    ,2023,50,6.0,7.0,8.0,（株）槌屋,1.594,0.26,4.5,4.84,6.18,7.31,0.81,1.5132348804500704,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタアリ
Name: 106, dtype: object",1.0,1.0,1.9,500.0,1.0,1.594,4.24,0.3399999999999998,1.34,1.13,2.81,0.0,3.469135802469135,1.8569490013105183,12.979708389218189,0.4094610510149115,100.0,390.0,8.ファイナル後半,6,0.0,0.0,0.0,0.6273525721455457,7.0,1.1428571428571428,0.75,6.0,8.0,1.594,2023-50
155,34989ECB030    ,2023,50,,,,（株）槌屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,,,,,,,2023-50
156,34989ECC010    ,2023,50,,,,（株）槌屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,,,,,,,2023-50
158,34989ECE020    ,2023,50,,,,（株）槌屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,,,,,,,2023-50
14,35141ECB010    ,2023,50,12.0,95.0,104.0,（株）アイシン福井,22.1875,0.26,1.0,0.98,1.5,1.67,0.62,0.7593121462777536,3.0,"箱種類          Aﾊﾟﾚ ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 84, dtype: object",1.0,4.0,4.0,16.0,89.0,111.0625,0.74,-0.02,0.52,0.1699999999999999,0.6699999999999999,,1.0806451612903225,0.8823775614342885,4.326760563380281,1.0925966000625165,100.0,390.0,,114,0.0,0.0,0.19999999999999996,0.8013505908835116,1.0674157303370786,1.0947368421052632,1.0961538461538463,1.2808988764044944,1.1685393258426966,5.546875,2023-50
15,35141ECE010    ,2023,50,23.0,80.0,90.0,（株）アイシン福井,19.6,0.2,1.01,1.0,2.08,2.24,0.63,0.7778014533809583,3.0,"箱種類          Aﾊﾟﾚ ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 85, dtype: object",1.0,4.0,4.0,20.0,63.0,98.05,0.81,-0.01,1.08,0.1600000000000001,1.2300000000000002,,1.9523809523809528,1.581380434111326,9.387755102040815,1.506442816660429,100.0,390.0,,100,0.0,0.0,0.20481927710843384,0.6425293217746049,1.2698412698412698,1.125,1.1111111111111112,1.5873015873015872,1.4285714285714286,4.9,2023-50
16,35145ECB010    ,2023,50,6.0,18.0,17.0,三共鋼業（株）,3.56,0.1,2.855,3.185,4.27,4.555,0.62,1.49070091423596,3.0,"箱種類        AW-131 ｾﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 78, dtype: object",1.0,4.0,4.0,100.0,12.0,17.77,2.755,0.3299999999999996,1.085,0.2850000000000001,1.6999999999999995,0.0,2.7419354838709675,1.1404031377221724,13.483146067415728,0.4123386551273617,100.0,390.0,2.MGケース,19,0.0,0.0,1.375,0.6752954417557682,1.5,0.9444444444444444,1.1176470588235294,1.5833333333333333,1.4166666666666667,0.89,2023-50
17,35145ECE010    ,2023,50,6.0,21.0,18.0,三共鋼業（株）,3.91,0.1,3.85,4.14,4.765,5.01,0.65,0.8963357556349304,1.0,"箱種類        AW-131 ｾﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 79, dtype: object",1.0,4.0,4.0,100.0,14.0,15.74,3.75,0.2899999999999996,0.625,0.2450000000000001,1.1599999999999997,0.0,1.784615384615384,1.29415790088425,12.27621483375959,0.4461226974335394,100.0,390.0,2.MGケース,20,0.0,0.0,0.6666666666666667,0.8894536213468869,1.5,0.8571428571428571,1.1111111111111112,1.4285714285714286,1.2857142857142858,0.9775,2023-50
18,35145ECE020    ,2023,50,4.0,18.0,18.0,（株）浅賀井製作所,3.91,0.675,2.72,3.05,4.12,4.515000000000001,0.65,0.8963357556349304,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 27, dtype: object",1.0,1.0,2.28,100.0,14.0,15.74,2.045,0.33,1.0700000000000005,0.3950000000000004,1.7950000000000008,0.13,2.761538461538463,2.002597786282095,3.1189570207722537,0.5536748282256959,100.0,390.0,2.MGケース,20,0.0,0.0,0.4285714285714286,0.8894536213468869,1.2857142857142858,1.0,1.1111111111111112,1.4285714285714286,1.2857142857142858,3.91,2023-50
19,35165ECE010    ,2023,50,4.0,9.0,9.0,（株）松尾製作所,1.955,0.07,3.31,3.66,4.41,5.67,0.63,1.1226715112698609,1.0,"箱種類    TP-131 ﾊﾝﾖｳ
箱種類       Aﾊﾟﾚﾌﾀﾅｼ
Name: 133, dtype: object",1.0,24.0,19.68,200.0,5.0,5.865,3.24,0.3500000000000001,0.75,1.2599999999999998,2.36,0.0,3.7460317460317456,2.1021286959803485,23.74509639025065,0.1671939914749914,100.0,390.0,2.MGケース,10,0.0,0.0,2.3333333333333335,0.8525149190110827,1.8,1.0,1.1111111111111112,2.0,1.8,0.08145833333333334,2023-50
20,35174ECB010    ,2023,50,10.0,70.0,81.0,（株）浅賀井製作所,17.75,0.61,1.83,2.09,2.7,2.87,0.91,0.9680467276157309,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタナシ
Name: 28, dtype: object",1.0,1.0,3.05,20.0,71.0,88.85,1.2200000000000002,0.2599999999999998,0.6100000000000003,0.1699999999999999,1.04,0.13,1.1428571428571428,1.0743283049584682,1.3910624239262737,0.4992869577126476,100.0,390.0,2.MGケース,91,0.0,0.0,0.3787878787878789,0.7990996060776591,0.9859154929577465,1.1571428571428573,1.123456790123457,1.2816901408450705,1.1408450704225352,17.75,2023-50
21,35174ECE010    ,2023,50,12.0,41.0,45.0,（株）浅賀井製作所,9.775,0.61,3.52,3.87,4.08,4.34,0.87,0.9685343022539722,1.0,"箱種類    TP-332 ﾊﾝﾖｳ
箱種類          ＴＰ３３２
Name: 29, dtype: object",1.0,1.0,3.25,40.0,33.0,39.35,2.91,0.3500000000000001,0.2099999999999999,0.2599999999999998,0.8199999999999998,0.13,0.9425287356321838,0.8466401221843114,2.8885211373551973,0.9123899495895804,100.0,390.0,2.MGケース,50,0.0,0.0,0.38888888888888884,0.8386277001270648,1.2424242424242424,1.0975609756097562,1.1111111111111112,1.5151515151515151,1.3636363636363635,9.775,2023-50
22,35174ECE020    ,2023,50,7.0,20.0,21.0,（株）浅賀井製作所,4.344444444444444,0.62,3.72,3.9,4.1,4.36,0.63,1.295106540214312,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３６２フタナシ
Name: 30, dtype: object",1.0,1.0,2.28,90.0,13.0,17.488888888888887,3.1,0.1799999999999997,0.1999999999999997,0.2600000000000007,0.6400000000000001,0.13,1.015873015873016,0.4941678388050561,4.9123573077163,0.7388623903557203,100.0,390.0,2.MGケース,22,0.0,0.0,0.46666666666666656,0.7433290978398984,1.5384615384615385,1.05,1.0476190476190477,1.6923076923076923,1.6153846153846154,4.344444444444444,2023-50
169,3519510A010    ,2023,50,,,,中庸スプリング（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,1.0,,,,,,,,2023-50
23,35195ECE010    ,2023,50,5.0,13.0,9.0,三共鋼業（株）,1.9525,0.105,3.86,4.14,5.305,6.015,0.66,2.1380145338095824,3.0,"箱種類        TP-131 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 80, dtype: object",1.0,4.0,4.0,400.0,4.0,3.905,3.755,0.2799999999999993,1.165,0.71,2.155,0.0,3.2651515151515142,1.0079445045493454,20.4865556978233,0.2372782585683769,100.0,390.0,4.TA・カバー・メイン,9,0.0,0.0,2.0,1.0243277848911652,3.25,0.6923076923076923,1.0,2.25,2.25,0.488125,2023-50
24,35195TFG010    ,2023,50,4.0,11.0,9.0,三共鋼業（株）,1.955,0.1,2.855,3.185,4.234999999999999,4.785,0.62,1.1126715112698609,1.0,"箱種類        TP-131 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 81, dtype: object",1.0,4.0,4.0,400.0,6.0,9.805,2.755,0.3299999999999996,1.0499999999999998,0.5500000000000007,1.93,0.0,3.112903225806452,1.7345640473865869,16.36828644501279,0.2359215796066007,100.0,390.0,2.MGケース,10,0.0,0.0,0.6666666666666667,0.6119326874043856,1.8333333333333333,0.8181818181818182,1.1111111111111112,1.6666666666666667,1.5,0.48875,2023-50
25,35198ECE010    ,2023,50,5.0,11.0,9.0,サトープレス工業（株）,1.955,0.12,3.94,4.16,4.98,5.17,0.58,1.0726715112698608,1.0,"箱種類       AW-331 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 70, dtype: object",1.0,4.0,4.0,200.0,5.0,5.91,3.82,0.2200000000000002,0.8200000000000003,0.1899999999999995,1.23,0.0,2.1206896551724137,1.1466697745555756,20.460358056265985,0.2375651504197521,100.0,390.0,2.MGケース,10,0.0,0.0,1.5,0.8460236886632826,2.2,0.8181818181818182,1.1111111111111112,2.0,1.8,0.48875,2023-50
26,35300ECB010    ,2023,50,86.0,259.0,290.0,アイシン精機（株）,62.25,0.2,1.19,1.68,2.95,3.1950000000000003,0.91,0.9579680213191206,3.0,"箱種類    TP-341 ﾊﾝﾖｳ
箱種類      ＴＰ３３１フタナシ
Name: 0, dtype: object",1.0,1.0,2.14,12.0,206.0,249.16666666666663,0.99,0.49,1.2700000000000002,0.2450000000000001,2.0050000000000003,0.14,2.2032967032967035,2.092971743711359,4.399764663750543,1.232758145317017,100.0,390.0,3.ギヤサブ・共通部品,319,0.0,0.0,0.5560975609756098,0.8267558528428095,1.2572815533980584,1.1196911196911197,1.1,1.5485436893203883,1.4077669902912622,62.25,2023-50
27,35312ECB010    ,2023,50,5.0,22.0,26.0,（株）旭工業所,5.650793650793651,0.68,4.02,4.25,4.36,4.58,0.59,0.7728471919895515,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類    ＴＰ３３１．５フタナシ
Name: 31, dtype: object",1.0,1.0,3.05,63.0,21.0,22.47619047619048,3.3399999999999994,0.2300000000000004,0.1100000000000003,0.2199999999999997,0.5600000000000005,0.0,0.9491525423728824,0.7245934329636167,2.184769038701623,0.6159074831605817,100.0,390.0,2.MGケース,29,0.0,0.0,0.7058823529411764,0.9343220338983048,1.0476190476190477,1.1818181818181819,1.1153846153846154,1.380952380952381,1.2380952380952381,5.650793650793651,2023-50
176,35352ECB010    ,2023,50,,,,五興商事（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.5,,,,,,,,2023-50
28,3539450A010    ,2023,50,2.0,1.0,1.0,ミズショー（株）,0.747,0.24,2.07,2.44,3.57,4.57,0.75,4.747335109926715,3.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 134, dtype: object",1.0,6.0,4.92,2000.0,1.0,0.747,1.83,0.3700000000000001,1.13,1.0000000000000004,2.5000000000000004,0.0,3.333333333333334,0.526611233905203,27.135569304244004,0.0732669992613204,100.0,390.0,3.ギヤサブ・共通部品,2,0.0,0.0,1.0,1.3386880856760375,1.0,1.0,2.0,2.0,1.0,0.1245,2023-50
29,35409ECB010    ,2023,50,3.0,6.0,8.0,サンコール（株）,1.78,0.12,4.39,4.64,6.01,6.39,0.7,1.2804672761573066,1.0,"箱種類        AW-131 ｾﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 357, dtype: object",1.0,4.0,4.0,200.0,5.0,5.34,4.27,0.25,1.37,0.3799999999999999,2.0,0.0,2.857142857142857,1.561929802690481,13.483146067415728,0.214023595500214,100.0,390.0,4.TA・カバー・メイン,9,0.0,0.0,0.8,0.9363295880149813,1.2,1.3333333333333333,1.125,1.8,1.6,0.445,2023-50
30,35441ECB010    ,2023,50,15.0,58.0,72.0,（株）ニフコ,15.5625,0.09,4.23,4.52,4.68,4.81,0.71,0.9018720852764824,3.0,"箱種類        TP-331 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 355, dtype: object",1.0,4.0,4.0,48.0,57.0,77.875,4.140000000000001,0.2899999999999991,0.1600000000000001,0.1299999999999999,0.5799999999999992,0.0,0.8169014084507031,0.6431067215282437,7.710843373493976,1.2116714618524218,100.0,390.0,2.MGケース,79,0.0,0.0,0.5192307692307692,0.7319422150882825,1.0175438596491229,1.2413793103448276,1.0972222222222223,1.3859649122807018,1.263157894736842,3.890625,2023-50
31,35441TFA010    ,2023,50,4.0,14.0,16.0,（株）ニフコ,3.555,0.09,3.2300000000000004,3.62,4.87,5.025,0.71,1.0002336380786532,1.0,"箱種類        TP-331 ﾊﾝﾖｳ
箱種類    ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ
Name: 356, dtype: object",1.0,4.0,4.0,100.0,12.0,14.16,3.140000000000001,0.3899999999999997,1.25,0.1550000000000002,1.795,0.0,2.528169014084507,1.7945807176091495,9.001406469760902,0.397302061954395,100.0,390.0,2.MGケース,18,0.0,0.0,0.8,0.847457627118644,1.1666666666666667,1.1428571428571428,1.125,1.5,1.3333333333333333,0.88875,2023-50
32,3548255A010    ,2023,50,1.0,8.0,4.0,サトープレス工業（株）,1.3016666666666667,0.125,3.945,4.19,4.895,6.61,0.61,1.3490072669047912,1.0,"箱種類       AW-131 ｾﾝﾖｳ
箱種類    サンボックス＃２４Ａフタアリ
Name: 71, dtype: object",1.0,4.0,4.0,300.0,4.0,3.91,3.82,0.2449999999999992,0.7050000000000001,1.7150000000000007,2.665,0.0,4.368852459016393,1.9755267932059903,6.145966709346991,0.1529878517655454,100.0,390.0,4.TA・カバー・メイン,7,0.0,0.0,0.75,1.0230179028132993,2.0,0.5,1.75,1.75,1.0,0.3254166666666667,2023-50
182,35482TFA010    ,2023,50,,,,サトープレス工業（株）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,,,,,,,2023-50
33,35501ECB010    ,2023,50,4.0,15.0,17.0,大橋鉄工（株）,3.555,0.13,2.455,2.72,3.54,3.68,0.64,0.9302336380786532,1.0,"箱種類    TP-331 ﾊﾝﾖｳ
箱種類      ＴＰ３４１フタナシ
Name: 45, dtype: object",1.0,6.0,4.92,100.0,12.0,14.16,2.325,0.2650000000000001,0.8199999999999998,0.1399999999999996,1.2249999999999996,0.0,1.9140625,1.316873471196086,11.403808872163305,0.3285674927321268,100.0,390.0,4.TA・カバー・メイン,18,0.0,0.0,0.5,0.847457627118644,1.25,1.1333333333333333,1.0588235294117647,1.5,1.4166666666666667,0.5925,2023-50
